City,State,Zip,Bank,BankState,NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,Defaulted
EMPORIA,KS,66801,THE LYON COUNTY STATE BANK,KS,112112,180,1,1.0,0,0,1,0,N,N,222000.0,0.0,222000.0,177600.0,0
ALPHARETTA,GA,30005,JPMORGAN CHASE BANK NATL ASSOC,IL,445310,84,2,1.0,0,2,0,1,Y,N,40404.0,0.0,25000.0,12500.0,0
NEENAH,WI,54956,FIRST BANK,MO,812111,84,16,1.0,0,0,77174,1,0,N,50000.0,0.0,50000.0,25000.0,0
MANILLA,IA,51454,FIRST NATIONAL BANK OF MANNING,IA,0,120,5,2.0,0,0,1,0,N,Y,20000.0,0.0,20000.0,16000.0,0
RICHLAND,WA,99352,KEYBANK NATIONAL ASSOCIATION,OR,0,110,6,2.0,0,0,1,0,N,N,250000.0,0.0,250000.0,212500.0,0
MITCHELL,SD,57301,WELLS FARGO BANK NATL ASSOC,SD,0,120,2,1.0,0,0,1,0,N,N,53000.0,0.0,53000.0,27560.0,0
NORTH WOODSTOCK,NH,3262,CITIZENS BANK NATL ASSOC,NH,531210,84,3,1.0,0,3,1,1,Y,N,132317.0,0.0,100000.0,50000.0,0
CARROLL,IA,51401,"BUSINESS LOAN CENTER, LLC",SC,0,206,3,1.0,0,0,1,0,N,N,445000.0,0.0,445000.0,333750.0,1
SANTA CRUZ,CA,95062,LOANS FROM OLD CLOSED LENDERS,DC,445310,120,1,1.0,0,0,1,0,0,N,153000.0,0.0,153000.0,114750.0,0
GENEVA,IL,60134,INLAND BANK & TRUST,IL,722110,84,25,2.0,0,0,1,1,0,Y,140000.0,0.0,140000.0,119000.0,0
DERRY,NH,3038,BANK OF AMERICA NATL ASSOC,CT,451220,66,65,1.0,0,0,1,0,N,N,150000.0,0.0,150000.0,135000.0,0
LOVELAND,OH,45140,KEYBANK NATIONAL ASSOCIATION,OH,722211,123,1,2.0,12,1,68020,1,0,N,150000.0,0.0,150000.0,127500.0,0
DES PLAINES,IL,60018,"READYCAP LENDING, LLC",CA,541511,120,15,1.0,0,0,1,0,0,N,250000.0,0.0,250000.0,187500.0,0
BALLSTON SPA,NY,12020,"SUPERIOR FINANCIAL GROUP, LLC",CA,484230,52,1,1.0,1,1,0,1,N,N,5000.0,0.0,5000.0,4250.0,1
SPRINGFIELD,MO,65804,LIBERTY BANK,MO,541330,51,3,1.0,1,2,1,1,0,N,66334.0,0.0,66334.0,56383.0,1
AUGUSTA,ME,4330,"TD BANK, NATIONAL ASSOCIATION",DE,443111,84,5,2.0,5,5,1,1,0,N,30000.0,0.0,30000.0,15000.0,0
ST.LOUIS,MO,63129,EAGLE BK & TR CO OF MISSOURI,MO,452990,84,2,2.0,0,0,1,1,N,N,137162.0,0.0,137162.0,116588.0,0
LINDENHURST,NY,11757,BANCO POPULAR NORTH AMERICA,NY,624410,120,1,2.0,0,0,79902,0,0,N,65300.0,0.0,125000.0,93750.0,0
REYNOLDSBURG,OH,43068,JPMORGAN CHASE BANK NATL ASSOC,IL,233320,32,1,1.0,0,0,0,1,Y,N,65429.0,0.0,20000.0,10000.0,1
DETROIT,MI,48219,CITIZENS BANK NATL ASSOC,RI,561720,64,3,1.0,1,4,0,1,N,N,15300.0,0.0,15300.0,7650.0,1
CHICAGO,IL,60618,BANCO POPULAR NORTH AMERICA,IL,624410,240,9,1.0,2,0,1,0,0,N,280000.0,0.0,280000.0,210000.0,0
HIALEAH,FL,33013,FIRST-CITIZENS BK & TR CO,FL,333294,228,3,1.0,0,0,1,0,N,N,340000.0,0.0,340000.0,255000.0,0
NEWPORT,VT,5855,COMMUNITY NATIONAL BANK,VT,0,240,16,2.0,0,0,0,0,N,N,479968.0,0.0,479968.0,407972.0,0
ROBBINSVILLE,NJ,8691,THE PROVIDENT BANK,NJ,0,84,12,1.0,0,0,1,1,0,Y,150000.0,0.0,150000.0,112500.0,0
FREEDOM,CA,95019,HERITAGE BANK OF COMMERCE,CA,621210,300,6,1.0,6,6,1,1,0,N,348000.0,0.0,348000.0,261000.0,0
BURBANK,CA,91505,CITY NATIONAL BANK,CA,335121,84,16,1.0,16,16,1,1,0,N,400244.0,0.0,410000.0,307500.0,0
ALBUQUERQUE,NM,87120,BANK OF AMERICA NATL ASSOC,NC,541922,41,1,1.0,0,1,0,1,T,N,8931.0,0.0,5000.0,2500.0,1
MONTEREY,CA,93940,"RABOBANK, NATIONAL ASSOCIATION",CA,451110,60,4,1.0,0,4,67255,1,0,N,100000.0,0.0,100000.0,85000.0,0
SOUTH EASTON,MA,2375,BANK OF AMERICA NATL ASSOC,NC,339950,35,2,2.0,0,2,0,1,T,N,23555.0,0.0,10000.0,5000.0,1
CARTHAGE,MS,39051,FIRST FINANCIAL BANK,AR,112320,120,1,1.0,0,0,1,2,N,N,71000.0,0.0,71000.0,60350.0,0
Manassas,VA,20112,SUNTRUST BANK,GA,448310,36,4,2.0,6,10,0,1,N,N,100000.0,0.0,100000.0,50000.0,1
PRICE,UT,84501,"SUPERIOR FINANCIAL GROUP, LLC",CA,453220,61,1,1.0,2,1,0,1,N,S,5000.0,0.0,5000.0,4250.0,1
WAKE FOREST,NC,27587,THE FIDELITY BANK,NC,0,60,3,2.0,0,0,1,1,0,Y,25000.0,0.0,25000.0,20000.0,0
MURRAY,UT,84107,ZIONS FIRST NATIONAL BANK,UT,421310,141,29,1.0,0,0,1,0,N,N,225000.0,0.0,225000.0,180000.0,0
PALESTINE,TX,75801,EAST TEXAS REGIONAL DEVEL COMP,TX,0,180,100,2.0,0,0,88355,0,N,N,298000.0,0.0,298000.0,298000.0,0
BIRMINGHAM,MI,48009,GE CAP. SMALL BUS. FINAN CORP,TX,722211,120,3,2.0,3,3,68020,1,0,N,140000.0,0.0,140000.0,119000.0,0
FORT WORTH,TX,76108,COMMUNITY BANK,TX,441222,240,9,1.0,0,0,1,0,N,N,265000.0,0.0,315000.0,267750.0,0
CARMEL,IN,46032,CITIZENS BANK NATL ASSOC,RI,621310,60,6,1.0,0,6,1,1,0,N,60000.0,0.0,60000.0,30000.0,0
MEDFORD,MA,2155,CITIZENS BANK NATL ASSOC,RI,532299,84,1,2.0,0,1,0,1,Y,N,11225.0,0.0,15000.0,7500.0,0
EL PASO,TX,79904,"SUPERIOR FINANCIAL GROUP, LLC",CA,811111,120,4,1.0,3,4,0,1,N,N,20000.0,0.0,20000.0,17000.0,0
HELEN,GA,30545,SMALL BUS. ACCESS PARTNERS INC,GA,721110,240,3,1.0,3,3,1,2,N,N,242000.0,0.0,242000.0,242000.0,0
ELGIN,OK,73538,BANCFIRST,OK,0,84,3,1.0,0,0,1,0,N,N,60000.0,0.0,60000.0,48000.0,0
FORT WORTH,TX,76116,FROST BANK,TX,453220,92,4,1.0,2,4,1,1,0,N,55000.0,0.0,55000.0,44000.0,0
MAGNOLIA,DE,19962,"PNC BANK, NATIONAL ASSOCIATION",DE,0,132,1,1.0,0,0,1,0,N,N,40000.0,0.0,40000.0,36000.0,0
GREENVILLE,TX,75401,BANCO POPULAR NORTH AMERICA,NY,722110,79,2,2.0,2,2,1,1,Y,N,50000.0,0.0,25000.0,12500.0,1
CARMEL (CORPORATE NAME CARMEL-,CA,93923,MUFG UNION BANK NATL ASSOC,CA,621210,120,7,1.0,0,7,1,1,0,N,100000.0,0.0,100000.0,85000.0,0
WARWICK,RI,2886,,,235210,7,8,1.0,0,0,1,0,N,N,310000.0,0.0,310000.0,263500.0,0
EVANSTON,IL,60202,WELLS FARGO BANK NATL ASSOC,SD,611620,100,4,2.0,4,0,0,1,N,N,220400.0,0.0,220400.0,198360.0,1
BALTIMORE,MD,21213,THE HARBOR BANK OF MARYLAND,MD,485410,60,2,1.0,0,0,1,0,N,Y,50000.0,0.0,50000.0,45000.0,0
LAKE HAVASU CITY,AZ,86403,BANK OF AMERICA NATL ASSOC,NC,0,192,22,2.0,0,0,10494,0,N,N,510000.0,0.0,510000.0,433500.0,0
ORLANDO,FL,32837,"READYCAP LENDING, LLC",CA,311520,72,5,2.0,5,0,17998,1,0,N,292300.0,0.0,292300.0,219225.0,1
MASON CITY,IA,50401,NSB BANK,IA,333512,84,2,1.0,0,2,1,1,0,N,18000.0,0.0,18000.0,9000.0,0
CHICAGO,IL,60659,BANK OF AMERICA NATL ASSOC,NC,424210,68,4,1.0,6,4,0,1,T,N,100000.0,0.0,50000.0,25000.0,1
ORANGE PARK,FL,32003,BANK OF AMERICA NATL ASSOC,NC,541490,84,1,1.0,0,1,1,1,Y,N,10000.0,0.0,45000.0,22500.0,0
SNOHOMISH,WA,98290,FIRST HERITAGE BANK,WA,0,84,4,2.0,0,0,1,0,N,N,36000.0,0.0,36000.0,28800.0,0
KETTERING,OH,45429,"PNC BANK, NATIONAL ASSOCIATION",IN,722110,60,5,1.0,0,0,1,2,0,Y,35000.0,0.0,35000.0,29750.0,0
BARRE,VT,5641,MERCHANTS BANK,VT,532490,120,3,1.0,0,3,1,2,0,N,485000.0,0.0,485000.0,363750.0,0
Garden City,SC,29576,UMPQUA BANK,OR,722211,65,7,2.0,3,7,0,1,N,N,25000.0,0.0,25000.0,22500.0,1
PITTSBURGH,PA,15219,BNY MELLON NATL ASSOC,PA,621210,90,3,1.0,0,0,1,0,N,N,98400.0,0.0,98400.0,88560.0,0
NEWTOWN,CT,6482,NEWTOWN SAVINGS BANK,CT,561730,61,4,1.0,1,5,1,2,0,N,90000.0,0.0,90000.0,45000.0,1
NEW SHARON,IA,50207,BANK IOWA,IA,0,240,8,1.0,0,0,1,0,0,Y,150000.0,0.0,150000.0,112500.0,0
SAINT PETERSBURG,FL,33713,SYNOVUS BANK,FL,447110,120,3,1.0,0,3,1,1,0,N,150000.0,0.0,150000.0,127500.0,0
DEEP RIVER,CT,6417,QUINNIPIAC BK & TR CO,CT,451140,120,2,2.0,0,2,0,2,N,N,122500.0,0.0,137500.0,123750.0,0
POTEAU,OK,74953,FIRST NATIONAL BANK,OK,0,186,6,1.0,0,0,1,0,N,Y,100000.0,0.0,100000.0,80000.0,0
HALTOM CITY,TX,76111,CAPITAL ONE NATL ASSOC,VA,811111,84,3,1.0,1,3,0,1,Y,N,55981.0,0.0,15000.0,7500.0,0
TIMONIUM,MD,21093,CAPITAL ONE NATL ASSOC,VA,722320,58,6,2.0,0,6,0,1,N,N,25000.0,0.0,25000.0,12500.0,1
SANTA PAULA,CA,93003,U.S. BANK NATIONAL ASSOCIATION,OH,541310,300,35,1.0,10,25,1,0,0,N,151700.0,0.0,173200.0,129900.0,0
WILLMAR,MN,56201,HERITAGE BANK NATL ASSOC,MN,0,79,23,1.0,0,0,21400,0,N,N,125000.0,0.0,125000.0,93750.0,0
KERMAN,CA,93722,CENTRAL VALLEY COMMUNITY BANK,CA,111332,120,2,1.0,0,0,1,2,N,N,168000.0,0.0,168000.0,126000.0,0
LONGVIEW,TX,75604,REGIONS BANK,TX,445299,84,4,2.0,0,0,1,0,N,Y,55000.0,0.0,55000.0,49500.0,0
PAVO,GA,31778,WELLS FARGO BANK NATL ASSOC,SD,112320,186,1,2.0,0,0,1,0,,N,405201.0,0.0,405201.0,303901.0,0
Denver,CO,80205,"BUSINESS LOAN CENTER, LLC",SC,621111,43,3,1.0,0,3,0,1,N,N,75000.0,0.0,75000.0,37500.0,1
ROSEVILLE,CA,95678,AMERICAN RIVER BANK,CA,0,84,35,1.0,0,0,1,0,N,N,600000.0,0.0,600000.0,480000.0,0
SAPPINGTON,MO,63110,"READYCAP LENDING, LLC",CA,561720,120,164,1.0,8,152,1,1,0,N,361000.0,0.0,361000.0,270750.0,0
MOUNT HAMILTON (LICK OBSERVATO,CA,94043,MUFG UNION BANK NATL ASSOC,CA,335122,120,1,1.0,0,1,1,1,0,N,375000.0,0.0,375000.0,281250.0,0
CHAMPAIGN,IL,61820,BUSEY BANK,IL,444130,120,27,1.0,0,0,1560,1,N,N,898000.0,0.0,898000.0,673500.0,0
MIAMI,FL,33147,BANK OF AMERICA NATL ASSOC,NC,624310,66,3,1.0,1,3,0,1,T,N,100000.0,0.0,100000.0,50000.0,1
ELK GROVE VILLAGE,IL,60007,GE CAP. SMALL BUS. FINAN CORP,TX,331221,37,28,1.0,0,0,1,0,0,N,525000.0,0.0,525000.0,393750.0,1
BELLEVUE,WA,98005,CAPITAL ONE NATL ASSOC,VA,236118,44,10,1.0,0,10,0,1,N,N,50000.0,0.0,50000.0,25000.0,1
ALBUQUERQUE,NM,87121,BANK OF AMERICA NATL ASSOC,NC,442110,84,1,1.0,0,1,1,1,Y,N,49507.0,0.0,20000.0,10000.0,0
CAPITOL HEIGHTS,MD,20743,EAGLEBANK,MD,811219,84,5,2.0,0,0,1,1,N,N,240000.0,0.0,240000.0,180000.0,0
MOUNT LAUREL,NJ,8054,CITIZENS BANK NATL ASSOC,RI,812320,84,3,1.0,0,3,0,1,Y,N,2080.0,0.0,2000.0,1000.0,0
Lake Oswego,OR,97034,AMER BK OF COMM. D/B/A AMBANK,UT,812990,300,1,2.0,28,1,0,1,N,N,2960000.0,0.0,2960000.0,2220000.0,0
ORANGE,CA,92865,CDC SMALL BUS. FINAN CORP,CA,421510,240,12,1.0,7,12,1,1,N,N,526000.0,0.0,526000.0,526000.0,0
ARNOLD,MD,21012,MANUFACTURERS & TRADERS TR CO,NY,423310,12,3,1.0,1,2,1,2,Y,N,465000.0,0.0,465000.0,418500.0,0
CARROLLTON,TX,75006,CAPITAL ONE NATL ASSOC,VA,448310,84,1,1.0,1,1,1,1,0,N,50000.0,0.0,50000.0,25000.0,0
WEST SENECA,NY,14224,HSBC BK USA NATL ASSOC,NY,235950,84,9,1.0,0,0,1,0,N,N,80000.0,0.0,80000.0,72000.0,0
Willmar,MN,56201,WELLS FARGO BANK NATL ASSOC,SD,524114,43,3,2.0,2,3,0,2,Y,N,222490.0,0.0,150000.0,75000.0,0
AMARILLO,TX,79102,,,0,84,11,1.0,0,0,21400,0,N,N,128000.0,0.0,128000.0,102400.0,0
FRESNO,CA,93706,WELLS FARGO BANK NATL ASSOC,SD,234110,2,12,1.0,6,0,1,1,0,N,150000.0,0.0,150000.0,75000.0,1
COUDERSPORT,PA,16915,CITIZENS & NORTHERN BANK,PA,611610,87,2,2.0,0,0,1,1,0,Y,40000.0,0.0,40000.0,34000.0,0
LYNDHURST,OH,44124,JPMORGAN CHASE BANK NATL ASSOC,IL,0,84,1,2.0,0,0,50564,0,N,Y,100000.0,0.0,100000.0,90000.0,0
BUFFALO,NY,14204,BANK OF AMERICA NATL ASSOC,NY,314912,84,24,1.0,0,0,1,0,N,N,250000.0,0.0,250000.0,210000.0,0
SPRING BRANCH,TX,78070,FIRST-CITIZENS BK & TR CO,NC,0,216,1,1.0,0,0,1,0,0,N,75000.0,0.0,75000.0,60000.0,0
SARASOTA,FL,34232,BANK OF AMERICA NATL ASSOC,NC,621320,84,3,1.0,0,0,1,1,Y,N,25000.0,0.0,25000.0,12500.0,0
ELLENWOOD,GA,30294,JPMORGAN CHASE BANK NATL ASSOC,NV,484220,84,7,1.0,3,7,1,2,Y,N,85001.0,0.0,50000.0,25000.0,0
TEMPE,AZ,85281,WELLS FARGO BANK NATL ASSOC,SD,0,84,7,1.0,0,0,1,0,N,N,285000.0,0.0,285000.0,213750.0,0
RIVERSIDE,RI,2915,"TEXTRON BUSINESS CREDIT, INC.",RI,445292,98,2,2.0,2,2,1,1,0,N,48000.0,0.0,48000.0,38400.0,1
MONTCLAIR (TOWNSHIP OF),NJ,7042,BBCN BANK,CA,722410,36,1,2.0,2,1,1,1,0,N,10000.0,0.0,10000.0,8500.0,1
FORT ATKINSON,WI,53538,JOHNSON BANK,WI,0,84,1,2.0,0,0,1,0,N,Y,34756.0,0.0,34756.0,31280.0,0
MENASHA,WI,54952,KIMCENTRAL CU,WI,235990,60,3,1.0,0,0,1,2,0,Y,25000.0,0.0,25000.0,21250.0,0
ANDOVER,MA,1810,ROCKLAND TRUST COMPANY,MA,722211,120,16,2.0,16,0,1,1,0,N,175000.0,0.0,175000.0,131250.0,0
ALEXANDRIA,VA,22314,"PNC BANK, NATIONAL ASSOCIATION",DE,541110,48,1,2.0,1,0,0,1,N,N,21000.0,0.0,21000.0,10500.0,0
GREENVILLE,SC,29607,BRANCH BK. & TR CO,NC,532111,60,3,1.0,0,0,1,0,N,Y,100000.0,0.0,100000.0,90000.0,0
HUNTINGTON,NY,11743,JPMORGAN CHASE BANK NATL ASSOC,IL,445110,60,4,1.0,1,4,0,1,N,N,20000.0,0.0,20000.0,10000.0,0
PALATKA,FL,32177,JPMORGAN CHASE BANK NATL ASSOC,NV,444120,300,1,1.0,0,1,1,1,0,N,115554.0,0.0,116800.0,99280.0,0
ORANGEBURG,SC,29115,NEWTEK SMALL BUS. FINANCE INC.,NY,0,300,3,1.0,0,0,38600,0,0,N,1400000.0,0.0,1500000.0,750000.0,0
FARMINGDALE,NY,11735,LONG ISLAND DEVEL CORP,NY,0,240,7,1.0,7,7,1,0,N,N,102000.0,0.0,122000.0,122000.0,0
CHATTANOOGA,TN,37421,BBCN BANK,CA,541613,84,2,2.0,0,2,1,1,0,N,10000.0,0.0,10000.0,8500.0,0
WEST HILLS,CA,91307,BANK OF MANHATTAN NATL ASSOC,CA,561510,84,1,2.0,0,0,1,1,N,N,65000.0,0.0,65000.0,55250.0,0
AUSTIN,TX,76574,AMERICAN BANK OF COMMERCE,TX,722110,84,8,1.0,0,0,1,2,0,Y,99200.0,0.0,99200.0,84320.0,0
HAMDEN,CT,6514,CITIZENS BANK NATL ASSOC,CT,812310,84,3,2.0,1,2,1,1,0,N,132000.0,0.0,132000.0,66000.0,0
RAYTOWN,MO,64133,UNION BANK,MO,621210,190,5,1.0,0,0,1,0,N,N,204750.0,0.0,204750.0,153563.0,0
Indianapolis,IN,46218,KEYBANK NATIONAL ASSOCIATION,OH,561612,84,10,1.0,0,10,0,1,Y,N,50000.0,0.0,50000.0,25000.0,0
HOLLAND,MI,49424,FIFTH THIRD BANK,OH,722211,84,2,2.0,0,0,1,2,0,Y,36000.0,0.0,36000.0,30600.0,0
BRIGHAM CITY,UT,84302,MOUNTAIN W. BANK A DIVISION OF,ID,453110,55,5,1.0,0,5,1,2,Y,N,30382.0,0.0,25000.0,12500.0,1
HOUSTON,TX,77003,BBCN BANK,CA,624410,84,1,2.0,0,1,1,1,0,N,5000.0,0.0,5000.0,4250.0,0
HELENA,MT,59602,VALLEY BK OF HELENA A DIVISION,MT,311991,120,1,2.0,3,4,1,2,0,N,66500.0,0.0,66500.0,56525.0,0
COOPERSTOWN,NY,13326,KEYBANK NATIONAL ASSOCIATION,NY,451211,180,3,2.0,0,0,1,0,N,N,110000.0,0.0,110000.0,99000.0,0
WADSWORTH,NV,89442,NEVADA ST. DEVEL CORP,NV,0,240,12,1.0,12,0,1,2,N,N,413000.0,0.0,413000.0,413000.0,0
OREM,UT,84058,CAPITAL COMMUNITY BANK,UT,561730,121,200,1.0,0,0,1,1,N,N,250000.0,0.0,275000.0,206250.0,0
PLAINFIELD,NJ,7060,WELLS FARGO BANK NATL ASSOC,SD,541110,300,10,1.0,0,0,0,0,N,N,235000.0,0.0,235000.0,176250.0,0
NORTH SALT LAKE,UT,84054,ZIONS FIRST NATIONAL BANK,UT,454113,60,12,1.0,0,0,1,1,N,N,50000.0,0.0,50000.0,25000.0,0
WAIMANALO,HI,96795,FIRST HAWAIIAN BANK,HI,235430,12,16,1.0,4,16,1,1,Y,N,80000.0,0.0,80000.0,40000.0,0
EAGLE,ID,83616,WELLS FARGO BANK NATL ASSOC,SD,0,240,16,1.0,0,0,1,0,N,N,470000.0,0.0,470000.0,399500.0,0
MARIETTA,GA,30062,GLOBAL COMMERCE BANK,GA,611511,240,20,1.0,0,20,0,1,N,N,600000.0,0.0,600000.0,450000.0,0
LINDEN,NJ,7036,BANCO POPULAR NORTH AMERICA,NY,811111,240,6,1.0,0,6,1,1,0,N,650000.0,0.0,650000.0,487500.0,0
SAN ANTONIO,TX,78249,"ACCION TEXAS, INC.",TX,512110,240,50,1.0,0,50,1,0,N,N,229000.0,0.0,229000.0,229000.0,0
JAFFREY,NH,3452,"OCEAN BANK, A DIVISION OF",NH,0,60,3,1.0,0,0,1,0,N,N,400000.0,0.0,400000.0,300000.0,0
GRAND JUNCTION,CO,81504,"COLORADO LENDING SOURCE, LTD.",CO,332322,240,16,1.0,4,0,1,2,0,N,344000.0,0.0,344000.0,344000.0,0
MIAMI,FL,33162,WELLS FARGO BANK NATL ASSOC,SD,0,3,2,1.0,0,0,1,0,0,N,20000.0,0.0,20000.0,10000.0,1
OLIVET,MI,49076,CHEMICAL BANK,MI,238910,84,2,2.0,2,0,1,2,0,N,50000.0,0.0,50000.0,25000.0,0
PALISADES PARK,NJ,7650,"PNC BANK, NATIONAL ASSOCIATION",DE,311811,58,4,1.0,0,4,0,1,Y,N,50000.0,0.0,50000.0,25000.0,1
"ROXBURY,",MA,2119,BOSTON LOCAL DEVELOPMENT,MA,0,240,150,1.0,32,118,0,0,N,N,347000.0,0.0,347000.0,347000.0,0
OLD BRIDGE,NJ,8857,BANK OF AMERICA NATL ASSOC,NC,541618,37,4,1.0,0,4,0,1,Y,N,58824.0,0.0,25000.0,12500.0,1
MONTEREY,CA,93940,BANK OF AMERICA NATL ASSOC,NC,311999,84,5,1.0,3,5,1,1,Y,N,30000.0,0.0,30000.0,15000.0,0
MIAMI,FL,33155,BANK OF AMERICA NATL ASSOC,NC,0,70,12,1.0,5,17,1,1,Y,N,99000.0,0.0,100000.0,50000.0,0
LINDEN,TX,75563,FIRST FINANCIAL BANK,AR,112320,180,2,0.0,0,0,1,2,N,N,640000.0,0.0,640000.0,480000.0,0
ANNAPOLIS,MD,21403,FIRST NATL BK OF PENNSYLVANIA,MD,0,84,6,1.0,0,0,1,0,N,N,200000.0,0.0,200000.0,170000.0,0
ST. PAUL,MN,55102,SUNRISE BANKS NATL ASSOC,MN,722110,84,16,1.0,0,0,1,1,0,Y,50000.0,0.0,50000.0,40000.0,0
WILLMAR,MN,56201,WELLS FARGO BANK NATL ASSOC,MN,0,243,3,1.0,0,0,1,0,0,N,115000.0,0.0,115000.0,86250.0,0
TEQUESTA,FL,33469,WELLS FARGO BANK NATL ASSOC,SD,0,294,7,2.0,0,0,1,0,0,N,1380000.0,0.0,1380000.0,749988.0,0
AMARILLO,TX,79101,BANK OF AMERICA NATL ASSOC,NC,0,40,7,1.0,2,5,1,1,Y,N,101468.0,0.0,100000.0,50000.0,1
DORAL,FL,33178,JPMORGAN CHASE BANK NATL ASSOC,IL,484110,69,20,1.0,0,20,1,1,Y,N,62300.0,0.0,35000.0,17500.0,1
SMITHFIELD,RI,2917,CITIZENS BANK NATL ASSOC,RI,311811,84,20,1.0,0,0,25650,1,N,N,280000.0,0.0,280000.0,176120.0,0
HAWTHORNE,NY,10532,"CITIBANK, N.A.",SD,323119,57,2,1.0,0,2,1,1,Y,N,74250.0,0.0,50000.0,25000.0,1
CINCINNATI,OH,45204,CINCINNATI LOCAL DEVEL CO,OH,0,180,75,1.0,0,0,0,0,N,N,168000.0,0.0,168000.0,168000.0,0
Painesville,OH,44077,KEYBANK NATIONAL ASSOCIATION,OH,561730,72,2,1.0,0,2,0,1,Y,N,10000.0,0.0,10000.0,5000.0,0
ARLINGTON (TOWN OF),MA,2476,CITIZENS BANK NATL ASSOC,RI,611691,84,7,1.0,0,7,1,1,Y,N,6301.0,0.0,5000.0,2500.0,0
LONG BEACH,CA,90802,COMERICA BANK,TX,722211,120,2,2.0,40,42,78760,1,0,N,910000.0,0.0,910000.0,682500.0,0
TUCSON,AZ,85715,BUSINESS DEVEL FINAN CORP,AZ,0,300,30,1.0,0,0,0,0,N,N,147000.0,0.0,147000.0,147000.0,0
GREEN BAY,WI,54303,ASSOCIATED BANK NATL ASSOC,WI,811211,60,1,1.0,0,1,0,1,N,N,76700.0,0.0,76700.0,26078.0,0
DENVER,CO,80216,WELLS FARGO BANK NATL ASSOC,SD,327331,240,20,1.0,0,0,1,0,N,N,1000000.0,0.0,1000000.0,750000.0,0
HASTINGS,MN,55033,BREMER BANK NATL ASSOC,MN,0,171,8,1.0,0,0,1,0,N,N,370000.0,0.0,370000.0,251600.0,0
ST. GEORGE,UT,84770,U.S. BANK NATIONAL ASSOCIATION,OH,311812,83,2,2.0,0,0,1,0,N,N,50000.0,0.0,50000.0,44500.0,0
ELKINS,WV,26241,BBCN BANK,CA,811111,84,2,1.0,2,2,1,2,0,N,5000.0,0.0,5000.0,2500.0,0
BELTSVILLE,MD,20705,MID-ATLANTIC BUS. FINAN CO,MD,235310,240,10,1.0,9,9,1,0,N,N,330000.0,0.0,330000.0,330000.0,0
PEWAUKEE,WI,53072,U.S. BANK NATIONAL ASSOCIATION,OH,621210,84,2,2.0,2,4,0,1,Y,N,25000.0,0.0,25000.0,22500.0,0
FARMINGDALE,NY,11735,BANK OF AMERICA NATL ASSOC,NC,332999,84,15,1.0,2,17,0,1,Y,N,482457.0,0.0,250000.0,125000.0,0
ELLENVILLE,NY,12428,BANK OF AMERICA NATL ASSOC,NC,453910,56,1,2.0,0,1,0,1,Y,N,14000.0,0.0,10000.0,5000.0,1
SANTA FE,NM,87505,BANK OF AMERICA CALIFORNIA N.A,CA,0,190,2,1.0,0,0,1,0,N,N,295000.0,0.0,295000.0,236000.0,0
NEW IBERIA,LA,70560,BBCN BANK,CA,451220,69,3,1.0,6,3,1,1,0,N,10000.0,0.0,10000.0,8500.0,1
MADERA,CA,93638,"RABOBANK, NATIONAL ASSOCIATION",CA,441120,300,4,1.0,0,0,1,2,N,N,120000.0,0.0,120000.0,102000.0,0
SOUTH EL MONTE,CA,91733,WELLS FARGO BANK NATL ASSOC,SD,423110,84,2,1.0,1,3,1,1,0,N,48000.0,0.0,48000.0,24000.0,0
FAIRMONT,WV,26554,INNOVATIVE BANK,CA,453998,84,2,1.0,1,2,1,2,0,N,5000.0,0.0,5000.0,4250.0,0
BRONX,NY,10457,BANK OF AMERICA NATL ASSOC,RI,0,85,6,1.0,0,0,1,0,N,N,219000.0,0.0,229000.0,171750.0,0
HONOLULU,HI,96814,BBCN BANK,CA,511120,50,1,1.0,1,1,1,0,0,N,5000.0,0.0,5000.0,4250.0,1
ALBUQUERQUE,NM,87123,CAPITAL ONE NATL ASSOC,VA,441210,61,12,1.0,0,12,1,1,0,N,50000.0,0.0,50000.0,25000.0,1
STATEN ISLAND,NY,10301,NORTHFIELD BANK,NY,422410,84,8,1.0,0,0,1,0,N,N,100000.0,0.0,100000.0,90000.0,0
YOUNGSTOWN,OH,44505,"PNC BANK, NATIONAL ASSOCIATION",OH,333319,60,2,1.0,0,0,1,0,N,Y,63000.0,0.0,63000.0,50400.0,0
YOE,PA,17402,CITIZENS BANK NATL ASSOC,RI,326199,84,13,1.0,4,17,1,2,Y,N,50000.0,0.0,50000.0,25000.0,0
CARDINGTON,OH,43315,THE HUNTINGTON NATIONAL BANK,OH,0,60,4,1.0,0,0,1,0,N,Y,20000.0,0.0,20000.0,16000.0,0
GREENFIELD (TOWN OF),MA,1301,GREENFIELD CO-OPERATIVE BANK,MA,236115,84,1,1.0,0,1,1,1,Y,N,50000.0,0.0,50000.0,25000.0,0
GARLAND,UT,84312,CACHE VALLEY BANK,UT,0,180,5,1.0,0,0,1,0,N,N,78000.0,0.0,78000.0,70200.0,0
BELLVUE,CO,80512,JPMORGAN CHASE BANK NATL ASSOC,IL,238210,84,1,1.0,1,1,0,1,Y,N,29784.0,0.0,25000.0,12500.0,0
SAVANNAH,GA,31419,SMALL BUS. ASSISTANCE CORP,GA,0,240,11,2.0,11,0,1,0,N,N,353000.0,0.0,353000.0,353000.0,0
